Date,Open,High,Low,Close,Adj Close,Volume
2017-05-08,50.320000,50.320000,50.320000,50.320000,47.479664,0
2017-05-09,49.889999,49.889999,49.889999,49.889999,47.073933,0
2017-05-10,50.619999,50.619999,50.619999,50.619999,47.762726,0
2017-05-11,50.439999,50.439999,50.439999,50.439999,47.592888,0
2017-05-12,50.430000,50.430000,50.430000,50.430000,47.583454,0
2017-05-15,50.860001,50.860001,50.860001,50.860001,47.989182,0
2017-05-16,50.820000,50.820000,50.820000,50.820000,47.951439,0
2017-05-17,50.259998,50.259998,50.259998,50.259998,47.423046,0
2017-05-18,50.110001,50.110001,50.110001,50.110001,47.281517,0
2017-05-19,50.910000,50.910000,50.910000,50.910000,48.036358,0
2017-05-22,50.759998,50.759998,50.759998,50.759998,47.894825,0
2017-05-23,50.720001,50.720001,50.720001,50.720001,47.857086,0
2017-05-24,50.509998,50.509998,50.509998,50.509998,47.658936,0
2017-05-25,49.759998,49.759998,49.759998,49.759998,46.951275,0
2017-05-26,49.849998,49.849998,49.849998,49.849998,47.036194,0
2017-05-30,49.279999,49.279999,49.279999,49.279999,46.498367,0
2017-05-31,49.070000,49.070000,49.070000,49.070000,46.300220,0
2017-06-01,49.360001,49.360001,49.360001,49.360001,46.573853,0
2017-06-02,48.830002,48.830002,48.830002,48.830002,46.073769,0
2017-06-05,48.790001,48.790001,48.790001,48.790001,46.036026,0
2017-06-06,49.320000,49.320000,49.320000,49.320000,46.536106,0
2017-06-07,48.369999,48.369999,48.369999,48.369999,45.639732,0
2017-06-08,48.230000,48.230000,48.230000,48.230000,45.507629,0
2017-06-09,49.180000,49.180000,49.180000,49.180000,46.404007,0
2017-06-12,49.310001,49.310001,49.310001,49.310001,46.526676,0
2017-06-13,49.770000,49.770000,49.770000,49.770000,46.960709,0
2017-06-14,48.810001,48.810001,48.810001,48.810001,46.054897,0
2017-06-15,48.169998,48.169998,48.169998,48.169998,45.451019,0
2017-06-16,48.790001,48.790001,48.790001,48.790001,46.036026,0
